Occupation group,ISCO code,Definition,Examples,Notes
Generalist medical practitioners,2211,"Generalist medical doctors (including family and primary care doctors) diagnose, treat and prevent illness, disease, injury, and other physical and mental impairments and maintain general health in humans through application of the principles and procedures of modern medicine. They plan, supervise and evaluate the implementation of care and treatment plans by other health care providers. They do not limit their practice to certain disease categories or methods of treatment, and may assume responsibility for the provision of continuing and comprehensive medical care to individuals, families and communities.",Medical doctor (general); Medical officer (general); Physician (general); General practitioner; Family medical practitioner; Primary health care physician; District medical doctor; Resident medical officer specializing in general practice; Township medical officer; Station medical officer; Specialist in family medicine; Medical officer,"Occupations included in this category require completion of a university-level degree in basic medical education plus postgraduate clinical training or equivalent. Medical interns who have completed their university education in basic medical education and are undertaking postgraduate clinical training are included here. Although in some countries â€˜general practiceâ€™ and 'family medicine' may be considered as medical specializations, these occupations should always be classified here."
Specialist medical practitioners,2212,"Specialist medical doctors diagnose, treat and prevent illness, disease, injury and other physical and mental impairments using specialized testing, diagnostic, medical, surgical, physical and psychiatric techniques, through application of the principles and procedures of modern medicine. They plan, supervise and evaluate the implementation of care and treatment plans by other health care providers. They specialize in certain disease categories, types of patient or methods of treatment, and may conduct medical education and research activities in their chosen areas of specialization.",Specialist physician (internal medicine); Surgeon; Anaesthetist; Cardiologist; Emergency medicine specialist; Ophthalmologist; Gynaecologist; Obstetrician; Paediatrician; Pathologist; Preventive medicine specialist; Psychiatrist; Radiologist; Resident medical officer in specialist training,"Occupations included in this category require completion of a university-level degree in basic medical education plus postgraduate clinical training in a medical specialization (except general practice) or equivalent. Resident medical officers training as specialist practitioners (except general practice) are included here. Although in some countries 'stomatology' may be considered as a medical specialization, stomatologists should be included under 'Dentists'-2261. Medical research professionals who participate in biomedical research using living organisms and do not undertake clinical practice should be excluded from here (classified under 'Life science professionals')."
Nursing professionals,2221,"Nursing professionals provide treatment, support and care services for people who are in need of nursing care due to the effects of ageing, injury, illness or other physical or mental impairment, or potential risks to health, according to the practice and standards of modern nursing. They assume responsibility for the planning and management of the care of patients, including the supervision of other health care workers, working autonomously or in teams with medical doctors and others in the practical application of preventive and curative measures in clinical and community settings.",Professional nurse; Specialist nurse; Nurse practitioner; Clinical nurse; District nurse; Operating theatre nurse; Public health nurse; Nurse anaesthetist; Nurse educator; Township health Nurse; Public health nursing sister,"This category includes occupations for which competent performance usually requires formal training at a higher educational institution in nursing. The distinction between nursing and midwifery professionals and associate professionals should be made on the basis of the nature of the work performed in relation to this definition. The qualifications held by individuals or that predominate in the country are not the main factor in making this distinction, as training arrangements for nurses and midwives vary widely between countries and have varied over time within countries."
Midwifery professionals,2222,"Midwifery professionals plan, manage, provide and evaluate midwifery care services before, during and after pregnancy and childbirth. They provide delivery care for reducing health risks to women and newborn children according to the practice and standards of modern midwifery, working autonomously or in teams with other health care providers. They may conduct research on midwifery practices and procedures, and implement midwifery education activities in clinical and community settings.",Professional midwife; Public health midwife,"This category includes occupations for which competent performance usually requires formal training at a higher educational institution in midwifery. The distinctions between nursing and midwifery professionals and associate professionals should be made on the basis of the nature of the work performed in relation to this definition. The qualifications held by individuals or that predominate in the country are not the main factor in making this distinction, as training arrangements for nurses and midwives vary widely between countries and have varied over time within countries."
Traditional and complementary medicine professionals,2230,"Traditional and complementary medicine professionals examine patients and prevent and treat illness, disease, injury and other physical, mental and psychosocial ailments by applying knowledge, skills and practices acquired through extensive study of the theories and experiences originating in specific cultures. They research, develop and implement treatment plans using applications such as acupuncture, ayurvedic, homoeopathic and herbal medicine.",Acupuncturist; Ayurvedic practitioner; Chinese herbal medicine practitioner; Homeopath; Naturopath; Unani practitioner; Drungtsho,"This category includes occupations for which competent performance requires an extensive understanding of the benefits and applications of traditional and complementary therapies, developed as the result of extended formal study of these techniques as well as human anatomy and elements of modern medicine. Practitioners working in the singular application of approaches to herbal medicines, spiritual therapies or manual therapeutic activity are excluded from here."
Paramedical practitioners,2240,"Paramedical practitioners (including clinical officers and related) provide advisory, diagnostic, curative and preventive medical services more limited in scope and complexity than those carried out by medical doctors. They work autonomously or with limited supervision of medical doctors, and perform clinical, therapeutic and surgical procedures for treating and preventing diseases, injuries, and other physical or mental impairments common to specific communities.",Clinical officer; Primary care paramedic; Advanced care paramedic; Surgical technician; Feldsher,Occupations included in this category normally require completion of tertiary-level training in theoretical and practical medical services. Workers providing services limited to emergency treatment and ambulance practice are classified under 'Ambulance workers'-3258.
Dentists,2261,"Dentists (including dental surgeons and related) diagnose, treat and prevent diseases, injuries and abnormalities of the teeth, mouth, jaws and associated tissues by applying the principles and procedures of modern dentistry. They use a broad range of specialized diagnostic, surgical and other techniques to promote and restore oral health.",Dentist; Dental practitioner; Dental surgeon; Endodontist; Oral and maxillofacial surgeon; Oral pathologist; Orthodontist; Paedodontist; Periodontist; Prosthodontist; Stomatologist,"Occupations included in this category normally require completion of university-level training in theoretical and practical dentistry or a related field. Although in some countries ÔstomatologyÕ and 'dental, oral and maxillofacial surgery' may be considered as medical specializations, occupations in these fields should always be classified here."
Pharmacists,2262,"Pharmacists store, preserve, compound and dispense medicinal products. They counsel on the proper use and adverse effects of drugs and medicines following prescriptions issued by medical doctors and other health professionals. They contribute to researching, testing, preparing, prescribing and monitoring medicinal therapies for optimizing human health.",Hospital pharmacist; Industrial pharmacist; Retail pharmacist; Dispensing chemist,"Occupations included in this category normally require completion of university-level training in theoretical and practical pharmacy, pharmaceutical chemistry or a related field. Pharmacologists and related professionals who study living organisms are excluded from here (classified under 'Life science professionals')."
Environmental and occupational health and hygiene professionals,2263,"Environmental and occupational health and hygiene professionals assess, plan and implement programs to recognize, monitor and control environmental factors that can potentially affect human health, to ensure safe and healthy working conditions, and to prevent disease or injury caused by chemical, physical, radiological and biological agents or ergonomic factors.",Environmental health officer; Occupational health and safety adviser; Occupational hygienist; Radiation protection adviser,"This category includes occupations for which competent performance usually requires formal training at a higher educational institution in environmental or occupational health and safety, or a related field. Professionals who assess, plan and implement programmes to monitor or control the impact of human activities on the environment are excluded from here (classified under 'Life science professionals')."
Physiotherapists,2264,"Physiotherapists assess, plan and implement rehabilitative programs that improve or restore human motor functions, maximize movement ability, relieve pain syndromes, and treat or prevent physical challenges associated with injuries, diseases and other impairments. They apply a broad range of physical therapies and techniques such as movement, ultrasound, heating, laser and other techniques. They may develop and implement programmes for screening and prevention of common physical ailments and disorders.",Physiotherapist; Geriatric physical therapist; Orthopaedic physical therapist; Paediatric physical therapist,This category includes occupations for which competent performance usually requires formal training at a higher educational institution in physiotherapy or a related field.
